Nombre de Restaurate,Nombre de la Orden,descripcion,categoria,precio,hashtag
McDonalds,Hamburgesa de carne,,Hamburgesa,"750.00",almuerzo
McDonalds,Hamburgesa de pollo,,Hamburgesa,"750.00",almuerzo
McDonalds,Triple con Bacon,,Hamburgesa,"1350.00",almuerzo
McDonalds,Papas Fritas,,Papas,"850.00",antojo
McDonalds,McPatatas,,Papas,"1050.00",antojo
McDonalds,McPinto,,Papas,"1550.00",desayuno
